;tweet;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
2013;  #YukJadiJubirAMIN #AniesMuhaimin2024 Relawan jubir desa 2024 https://t.co/VWBOQlcNMD;1.0;hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag relawan jubir desa number covwboqlcnmd;['hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'relawan', 'jubir', 'desa', 'number', 'covwboqlcnmd'];['hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'relawan', 'jubir', 'desa', 'number', 'covwboqlcnmd'];['hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'relawan', 'jubir', 'desa', 'number', 'covwboqlcnmd'];hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag relawan jubir desa number covwboqlcnmd;hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag rawan jubir desa number covwboqlcnmd
2014;Saatnya...   #YukJadiJubirAMIN  #AniesMuhaimin2024 https://t.co/7FuIzX16dI;1.0;saatnya repeated hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag co7fuizx16di;['saatnya', 'repeated', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co7fuizx16di'];['saatnya', 'repeated', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co7fuizx16di'];['repeated', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'co7fuizx16di'];repeated hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag co7fuizx16di;repeated hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag co7fuizx16di
2015;Launching 1 Juta  Jubir Desa AMIN sebagai penyambung lidah AMIN kepada masyarakat tentang visi misi dan untuk mengkonsolidasikan kekuatan pendukung AMIN. Termasuk dalam mengawal suara-suara di desa #YukJadiJubirAMIN #AniesMuhaimin2024   https://t.co/D4ZrjQU5oQ;1.0;launching number juta jubir desa allcaps amin allcaps sebagai penyambung lidah allcaps amin allcaps kepada masyarakat tentang visi misi dan untuk mengkonsolidasikan kekuatan pendukung allcaps amin allcaps termasuk dalam mengawal suara suara di desa hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag cod4zrjqu5oq;['launching', 'number', 'juta', 'jubir', 'desa', 'allcaps', 'amin', 'allcaps', 'sebagai', 'penyambung', 'lidah', 'allcaps', 'amin', 'allcaps', 'kepada', 'masyarakat', 'tentang', 'visi', 'misi', 'dan', 'untuk', 'mengkonsolidasikan', 'kekuatan', 'pendukung', 'allcaps', 'amin', 'allcaps', 'termasuk', 'dalam', 'mengawal', 'suara', 'suara', 'di', 'desa', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cod4zrjqu5oq'];['launching', 'number', 'juta', 'jubir', 'desa', 'allcaps', 'semoga', 'allcaps', 'sebagai', 'penyambung', 'lidah', 'allcaps', 'semoga', 'allcaps', 'kepada', 'masyarakat', 'tentang', 'visi', 'misi', 'dan', 'untuk', 'mengkonsolidasikan', 'kekuatan', 'pendukung', 'allcaps', 'semoga', 'allcaps', 'termasuk', 'dalam', 'mengawal', 'suara', 'suara', 'di', 'desa', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cod4zrjqu5oq'];['launching', 'number', 'juta', 'jubir', 'desa', 'allcaps', 'semoga', 'allcaps', 'penyambung', 'lidah', 'allcaps', 'semoga', 'allcaps', 'masyarakat', 'visi', 'misi', 'mengkonsolidasikan', 'kekuatan', 'pendukung', 'allcaps', 'semoga', 'allcaps', 'mengawal', 'suara', 'suara', 'desa', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cod4zrjqu5oq'];launching number juta jubir desa allcaps semoga allcaps penyambung lidah allcaps semoga allcaps masyarakat visi misi mengkonsolidasikan kekuatan pendukung allcaps semoga allcaps mengawal suara suara desa hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag cod4zrjqu5oq;launching number juta jubir desa allcaps moga allcaps sambung lidah allcaps moga allcaps masyarakat visi misi konsolidasi kuat dukung allcaps moga allcaps awal suara suara desa hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag cod4zrjqu5oq
2016;Visi misi AMIN sangat baik. Mari kita suarakan. Yuk ikut dan gabung!   Barisan Relawan Desa Anies-Muhaimin (Balad AMIN) buka pendaftaran bagi yg ingin gabung jadi Jubir AMIN. Scan barcode atau klik link berikut:   https://t.co/uGmac6D3ks  #YukJadiJubirAMIN  #AniesMuhaimin2024 https://t.co/gZz8WUrh2c;1.0;visi misi allcaps amin allcaps sangat baik mari kita suarakan yuk ikut dan gabung barisan relawan desa anies muhaimin balad allcaps amin allcaps buka pendaftaran bagi yg ingin gabung jadi jubir allcaps amin allcaps scan barcode atau klik link berikut cougmac6d3ks hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag cogzz8wurh2c;['visi', 'misi', 'allcaps', 'amin', 'allcaps', 'sangat', 'baik', 'mari', 'kita', 'suarakan', 'yuk', 'ikut', 'dan', 'gabung', 'barisan', 'relawan', 'desa', 'anies', 'muhaimin', 'balad', 'allcaps', 'amin', 'allcaps', 'buka', 'pendaftaran', 'bagi', 'yg', 'ingin', 'gabung', 'jadi', 'jubir', 'allcaps', 'amin', 'allcaps', 'scan', 'barcode', 'atau', 'klik', 'link', 'berikut', 'cougmac6d3ks', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cogzz8wurh2c'];['visi', 'misi', 'allcaps', 'semoga', 'allcaps', 'sangat', 'baik', 'mari', 'kita', 'suarakan', 'ayo', 'ikut', 'dan', 'gabung', 'barisan', 'relawan', 'desa', 'anies', 'muhaimin', 'balad', 'allcaps', 'semoga', 'allcaps', 'buka', 'pendaftaran', 'bagi', 'yang', 'ingin', 'gabung', 'jadi', 'jubir', 'allcaps', 'semoga', 'allcaps', 'scan', 'barcode', 'atau', 'klik', 'link', 'berikut', 'cougmac6d3ks', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cogzz8wurh2c'];['visi', 'misi', 'allcaps', 'semoga', 'allcaps', 'mari', 'suarakan', 'ayo', 'gabung', 'barisan', 'relawan', 'desa', 'anies', 'muhaimin', 'balad', 'allcaps', 'semoga', 'allcaps', 'buka', 'pendaftaran', 'gabung', 'jubir', 'allcaps', 'semoga', 'allcaps', 'scan', 'barcode', 'klik', 'link', 'cougmac6d3ks', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cogzz8wurh2c'];visi misi allcaps semoga allcaps mari suarakan ayo gabung barisan relawan desa anies muhaimin balad allcaps semoga allcaps buka pendaftaran gabung jubir allcaps semoga allcaps scan barcode klik link cougmac6d3ks hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag cogzz8wurh2c;visi misi allcaps moga allcaps mari suara ayo gabung baris rawan desa anies muhaimin balad allcaps moga allcaps buka daftar gabung jubir allcaps moga allcaps scan barcode klik link cougmac6d3ks hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag cogzz8wurh2c
2017;Pilih 0??1??AMIN ?? #AMINAjaDulu  #AniesMuhaimin2024;1.0;pilih number repeated number repeated allcaps amin allcaps repeated hashtag amin aja dulu hashtag hashtag anies muhaimin 2024 hashtag;['pilih', 'number', 'repeated', 'number', 'repeated', 'allcaps', 'amin', 'allcaps', 'repeated', 'hashtag', 'amin', 'aja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['pilih', 'number', 'repeated', 'number', 'repeated', 'allcaps', 'semoga', 'allcaps', 'repeated', 'hashtag', 'semoga', 'saja', 'dulu', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['pilih', 'number', 'repeated', 'number', 'repeated', 'allcaps', 'semoga', 'allcaps', 'repeated', 'hashtag', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];pilih number repeated number repeated allcaps semoga allcaps repeated hashtag semoga hashtag hashtag anies muhaimin 2024 hashtag;pilih number repeated number repeated allcaps moga allcaps repeated hashtag moga hashtag hashtag anies muhaimin 2024 hashtag
2018;Balad Amin, jubir Desa, salah satu sarana pemer-satu. #YukJadiJubirAMIN  #AniesMuhaimin2024 https://t.co/yDUwsE73cA;1.0;balad amin jubir desa salah satu sarana pemer satu hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag coyduwse73ca;['balad', 'amin', 'jubir', 'desa', 'salah', 'satu', 'sarana', 'pemer', 'satu', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coyduwse73ca'];['balad', 'semoga', 'jubir', 'desa', 'salah', 'satu', 'sarana', 'pemer', 'satu', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coyduwse73ca'];['balad', 'semoga', 'jubir', 'desa', 'salah', 'sarana', 'pemer', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coyduwse73ca'];balad semoga jubir desa salah sarana pemer hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag coyduwse73ca;balad moga jubir desa salah sarana per hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag coyduwse73ca
2019;#YukJadiJubirAMIN  #AniesMuhaimin2024    *AMIN MENANG AMIN. WALAUPUN DI UCAPKAN TERAKHIR TAPI INTINYA AMIN QOBUL. https://t.co/r6EkXCUe5O;1.0;hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag allcaps amin menang amin allcaps allcaps walaupun di ucapkan terakhir tapi intinya amin qobul allcaps cor6ekxcue5o;['hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'amin', 'menang', 'amin', 'allcaps', 'allcaps', 'walaupun', 'di', 'ucapkan', 'terakhir', 'tapi', 'intinya', 'amin', 'qobul', 'allcaps', 'cor6ekxcue5o'];['hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'semoga', 'menang', 'semoga', 'allcaps', 'allcaps', 'walaupun', 'di', 'ucapkan', 'terakhir', 'tapi', 'intinya', 'semoga', 'qobul', 'allcaps', 'cor6ekxcue5o'];['hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'semoga', 'menang', 'semoga', 'allcaps', 'allcaps', 'ucapkan', 'intinya', 'semoga', 'qobul', 'allcaps', 'cor6ekxcue5o'];hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag allcaps semoga menang semoga allcaps allcaps ucapkan intinya semoga qobul allcaps cor6ekxcue5o;hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag allcaps moga menang moga allcaps allcaps ucap inti moga qobul allcaps cor6ekxcue5o
2020;Yuk Jadi Jubir Amin #YukJadiJubirAMIN #AniesMuhaimin2024   https://t.co/DSO5ntCsKP;1.0;yuk jadi jubir amin hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag codso5ntcskp;['yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'codso5ntcskp'];['ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'codso5ntcskp'];['ayo', 'jubir', 'semoga', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'codso5ntcskp'];ayo jubir semoga hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag codso5ntcskp;ayo jubir moga hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag codso5ntcskp
2021;Masih buka dan trs bergerak   #YukJadiJubirAMIN #AniesMuhaimin2024   ;1.0;masih buka dan trs bergerak hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag;['masih', 'buka', 'dan', 'trs', 'bergerak', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['masih', 'buka', 'dan', 'terus', 'bergerak', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['buka', 'bergerak', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];buka bergerak hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag;buka gerak hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag
2022;Balad AMIN, Jubir Desa #YukJadiJubirAMIN #AniesMuhaimin2024  -PKB https://t.co/4StmUzra8F;1.0;balad allcaps amin allcaps jubir desa hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag allcaps pkb allcaps co4stmuzra8f;['balad', 'allcaps', 'amin', 'allcaps', 'jubir', 'desa', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'pkb', 'allcaps', 'co4stmuzra8f'];['balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'pkb', 'allcaps', 'co4stmuzra8f'];['balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'allcaps', 'pkb', 'allcaps', 'co4stmuzra8f'];balad allcaps semoga allcaps jubir desa hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag allcaps pkb allcaps co4stmuzra8f;balad allcaps moga allcaps jubir desa hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag allcaps pkb allcaps co4stmuzra8f
2023;Balad AMIN, Jubir Desa. Siap menang  #YukJadiJubirAMIN #AniesMuhaimin2024    https://t.co/CUNVGkUVoR;1.0;balad allcaps amin allcaps jubir desa siap menang hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag cocunvgkuvor;['balad', 'allcaps', 'amin', 'allcaps', 'jubir', 'desa', 'siap', 'menang', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cocunvgkuvor'];['balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'siap', 'menang', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cocunvgkuvor'];['balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'menang', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cocunvgkuvor'];balad allcaps semoga allcaps jubir desa menang hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag cocunvgkuvor;balad allcaps moga allcaps jubir desa menang hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag cocunvgkuvor
2024;Bersama di AMIN kan #YukJadiJubirAMIN #AniesMuhaimin2024  _*Balad AMIN, Jubir Desa*_    https://t.co/IEvyPRfTCX;1.0;bersama di allcaps amin allcaps kan hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag _balad censored allcaps amin allcaps jubir desa_ censored coievyprftcx;['bersama', 'di', 'allcaps', 'amin', 'allcaps', 'kan', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', '_balad', 'censored', 'allcaps', 'amin', 'allcaps', 'jubir', 'desa_', 'censored', 'coievyprftcx'];['bersama', 'di', 'allcaps', 'semoga', 'allcaps', 'kan', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', '_balad', 'censored', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa_', 'censored', 'coievyprftcx'];['allcaps', 'semoga', 'allcaps', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', '_balad', 'censored', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa_', 'censored', 'coievyprftcx'];allcaps semoga allcaps hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag _balad censored allcaps semoga allcaps jubir desa_ censored coievyprftcx;allcaps moga allcaps hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag balad censored allcaps moga allcaps jubir desa censored coievyprftcx
2025; Sedang tren dalam topik Indonesia #AniesMuhaimin2024 27,9ærb posts;0.0;sedang tren dalam topik indonesia hashtag anies muhaimin 2024 hashtag number 9 rb posts;['sedang', 'tren', 'dalam', 'topik', 'indonesia', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'number', '9', 'rb', 'posts'];['sedang', 'tren', 'dalam', 'topik', 'indonesia', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'number', '9', 'ribu', 'posts'];['tren', 'topik', 'indonesia', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'number', '9', 'ribu', 'posts'];tren topik indonesia hashtag anies muhaimin 2024 hashtag number 9 ribu posts;tren topik indonesia hashtag anies muhaimin 2024 hashtag number 9 ribu posts
2026;Mengawal suara-suara di desa bagi AMIN melalui Balad AMIN, Jubir Desa   #YukJadiJubirAMIN #AniesMuhaimin2024    https://t.co/WQfdczkzIE;1.0;mengawal suara suara di desa bagi allcaps amin allcaps melalui balad allcaps amin allcaps jubir desa hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag cowqfdczkzie;['mengawal', 'suara', 'suara', 'di', 'desa', 'bagi', 'allcaps', 'amin', 'allcaps', 'melalui', 'balad', 'allcaps', 'amin', 'allcaps', 'jubir', 'desa', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cowqfdczkzie'];['mengawal', 'suara', 'suara', 'di', 'desa', 'bagi', 'allcaps', 'semoga', 'allcaps', 'melalui', 'balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cowqfdczkzie'];['mengawal', 'suara', 'suara', 'desa', 'allcaps', 'semoga', 'allcaps', 'balad', 'allcaps', 'semoga', 'allcaps', 'jubir', 'desa', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'cowqfdczkzie'];mengawal suara suara desa allcaps semoga allcaps balad allcaps semoga allcaps jubir desa hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag cowqfdczkzie;awal suara suara desa allcaps moga allcaps balad allcaps moga allcaps jubir desa hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag cowqfdczkzie
2027;Tetap solid untuk Amin #YukJadiJubirAMIN #AniesMuhaimin2024   https://t.co/UqS2Oqj1AA;1.0;tetap solid untuk amin hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag couqs2oqj1aa;['tetap', 'solid', 'untuk', 'amin', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'couqs2oqj1aa'];['tetap', 'solid', 'untuk', 'semoga', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'couqs2oqj1aa'];['solid', 'semoga', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'couqs2oqj1aa'];solid semoga hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag couqs2oqj1aa;solid moga hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag couqs2oqj1aa
2028;Cawapres Gus Muhaimin mengkukuhkan Sukarelawan 1 Juta Jubir Desa Anies-Muhaimin (AMIN).  #YukJadiJubirAMIN #AniesMuhaimin2024   https://t.co/VoJDlc0fX4;1.0;cawapres gus muhaimin mengkukuhkan sukarelawan number juta jubir desa anies muhaimin allcaps amin allcaps hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag covojdlc0fx4;['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'amin', 'allcaps', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'covojdlc0fx4'];['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'semoga', 'allcaps', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'covojdlc0fx4'];['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'semoga', 'allcaps', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'covojdlc0fx4'];cawapres gus muhaimin mengkukuhkan sukarelawan number juta jubir desa anies muhaimin allcaps semoga allcaps hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag covojdlc0fx4;cawapres gus muhaimin kukuh sukarelawan number juta jubir desa anies muhaimin allcaps moga allcaps hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag covojdlc0fx4
2029;#YukJadiJubirAMIN di desa-desa. Untuk yang tertarik menjadi juru bicara AMIN di desa, kalian bisa cari Posko seperti ini di Kabupaten masing2. Mulai dengan diskusi2 ringan. Insyaalloh semangat berlipat memenangkan AMIN ??  #AniesMuhaimin2024     https://t.co/ov3pEt8NLP;1.0;hashtag yuk jadi jubir amin hashtag di desa desa untuk yang tertarik menjadi juru bicara allcaps amin allcaps di desa kalian bisa cari posko seperti ini di kabupaten masing2 mulai dengan diskusi2 ringan insyaalloh semangat berlipat memenangkan allcaps amin allcaps repeated hashtag anies muhaimin 2024 hashtag coov3pet8nlp;['hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'di', 'desa', 'desa', 'untuk', 'yang', 'tertarik', 'menjadi', 'juru', 'bicara', 'allcaps', 'amin', 'allcaps', 'di', 'desa', 'kalian', 'bisa', 'cari', 'posko', 'seperti', 'ini', 'di', 'kabupaten', 'masing2', 'mulai', 'dengan', 'diskusi2', 'ringan', 'insyaalloh', 'semangat', 'berlipat', 'memenangkan', 'allcaps', 'amin', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coov3pet8nlp'];['hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'di', 'desa', 'desa', 'untuk', 'yang', 'tertarik', 'menjadi', 'juru', 'bicara', 'allcaps', 'semoga', 'allcaps', 'di', 'desa', 'kalian', 'bisa', 'cari', 'posko', 'seperti', 'ini', 'di', 'kabupaten', 'masing2', 'mulai', 'dengan', 'diskusi2', 'ringan', 'insyaalloh', 'semangat', 'berlipat', 'memenangkan', 'allcaps', 'semoga', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coov3pet8nlp'];['hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'desa', 'desa', 'tertarik', 'juru', 'bicara', 'allcaps', 'semoga', 'allcaps', 'desa', 'cari', 'posko', 'kabupaten', 'masing2', 'diskusi2', 'ringan', 'insyaalloh', 'semangat', 'berlipat', 'memenangkan', 'allcaps', 'semoga', 'allcaps', 'repeated', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag', 'coov3pet8nlp'];hashtag ayo jubir semoga hashtag desa desa tertarik juru bicara allcaps semoga allcaps desa cari posko kabupaten masing2 diskusi2 ringan insyaalloh semangat berlipat memenangkan allcaps semoga allcaps repeated hashtag anies muhaimin 2024 hashtag coov3pet8nlp;hashtag ayo jubir moga hashtag desa desa tarik juru bicara allcaps moga allcaps desa cari posko kabupaten masing2 diskusi2 ringan insyaalloh semangat lipat menang allcaps moga allcaps repeated hashtag anies muhaimin 2024 hashtag coov3pet8nlp
2030;Cawapres Gus Muhaimin mengkukuhkan Sukarelawan 1 Juta Jubir Desa Anies-Muhaimin (AMIN)  #YukJadiJubirAMIN #AniesMuhaimin2024    ;1.0;cawapres gus muhaimin mengkukuhkan sukarelawan number juta jubir desa anies muhaimin allcaps amin allcaps hashtag yuk jadi jubir amin hashtag hashtag anies muhaimin 2024 hashtag;['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'amin', 'allcaps', 'hashtag', 'yuk', 'jadi', 'jubir', 'amin', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'semoga', 'allcaps', 'hashtag', 'ayo', 'jadi', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];['cawapres', 'gus', 'muhaimin', 'mengkukuhkan', 'sukarelawan', 'number', 'juta', 'jubir', 'desa', 'anies', 'muhaimin', 'allcaps', 'semoga', 'allcaps', 'hashtag', 'ayo', 'jubir', 'semoga', 'hashtag', 'hashtag', 'anies', 'muhaimin', '2024', 'hashtag'];cawapres gus muhaimin mengkukuhkan sukarelawan number juta jubir desa anies muhaimin allcaps semoga allcaps hashtag ayo jubir semoga hashtag hashtag anies muhaimin 2024 hashtag;cawapres gus muhaimin kukuh sukarelawan number juta jubir desa anies muhaimin allcaps moga allcaps hashtag ayo jubir moga hashtag hashtag anies muhaimin 2024 hashtag
